Identificador,Espanol,Ingles,Donde Esta,Is part of button and where goes,URL # 1,URL # 2,etc...
Index_1,"La Fábrica Colapsada","La Fábrica Colapsada (The Collapsed Factory)",index.html,,,,
Index_2,"Visita:" ,"Go to:",index.html,,,,
Index_3,"Datos sobre el terremoto","Earthquake Data",index.html,earthquake-event.html,,,
Index_4,"Primer Acto -","Act I -",index.html,act1.html,,,
Index_5,"La Casa","The House",index.html,act1.html,,,
Index_6,"Segundo Acto -"","Act II -",index.html,act2-Part1.html,,,
Index_7,"La Tierra/El Agua","The Land/Water",index.html,act2-Part1.html,,,
Index_8,"Tercer Acto - "","Act III -",index.html,act3.html,,,
Index_9,"La Fábrica","The Factory",index.html,act3.html,,,
Index_10,"El 19 de septiembre de 1985, un terremoto de 8.1 grados en la escala de Richter sacudió la Ciudad de México durante 120 segundos. Las secuelas fueron abrumadoras: 412 edificios colapsaron y 5728 resultaron gravemente dañados. El número de muertos sigue siendo incierto: según la Secretaría de la Defensa Nacional de México, 2000 personas murieron en el terremoto; el Instituto Nacional de Salud sostiene que estas cifras son más probablemente entre 3000 y 6000, mientras que algunos periodistas cuentan más de 20,000 muertes. El Estado mexicano fue superado por la magnitud de la tragedia, pero rechazó la ayuda (intervención) de la comunidad internacional, excepto un nuevo préstamo del FMI, por supuesto. La incapacidad del gobierno para actuar tras el terremoto activó una red de solidaridad entre los ciudadanos que se convirtió en la base de una sociedad civil y sería clave para futuros cambios políticos en la ciudad y en todo el país.","On September 19th,1985, an earthquake of 8.1 degrees on the Richter scale shook Mexico City for 120 seconds. The aftermath was overwhelming: 412 buildings collapsed and 5728 were significantly damaged. The death count remains uncertain: according to the Mexican Secretary for National Defence, 2000 people died in the earthquake; the National Health Institute claims these numbers are more likely between 3000 and 6000, whereas some journalists count over 20,000 fatalities. The Mexican State was surpassed by the magnitude of the tragedy yet rejected help (intervention) from the international community - except a new IMF loan, of course. The inability of the government to act in the aftermath of the earthquake activated a network of solidarity among citizens that became the basis for a civil society and would become key for future political changes in the city and the country as a whole.",index.html,,,,
Index_11,"Alrededor de la 1 de la tarde del 19 de septiembre de 2017, dos horas después del simulacro de evacuación que conmemora el terremoto de 1985 (19-S I), un terremoto de menor intensidad (7.1 grados en la escala de Richter) pero con un epicentro más cercano a la capital del país volvió a sacudir a los habitantes de la Ciudad de México. Alrededor de 50 edificios colapsaron y más de 300 personas perdieron la vida. El terremoto no fue tan mortal ni intenso como el 19-S I, pero ciertamente fue el más destructivo desde entonces. Inmediatamente, la gente encendió radios viejas (ya que todas las demás formas de comunicación estaban fuera de servicio) y comenzó a reunirse en lo que se percibía como las áreas más afectadas de la ciudad para ayudar: llevando artículos útiles como equipo médico de primeros auxilios; herramientas para la remoción de escombros; agua y comida para las personas que trabajaban en los sitios. Colectivos de ciclistas se organizaron para transportar información y recursos de un lugar a otro; los hoteles facilitaron habitaciones para las personas que perdieron sus hogares; arquitectos diseñaron manuales para que la gente verificara si sus casas estaban en peligro de colapsar; ingenieros de audio usaron su equipo para escuchar posibles sobrevivientes bajo los escombros de algunos edificios.","Around 1pm on the 19th of September, in 2017, two hours after the ceremonial evacuation drill that commemorates the 1985 earthquake (19-S I), an earthquake of less intensity (7.1 degrees Richter) but with an epicentre closer to the capital of the country shook Mexico City's people again. Around 50 buildings collapsed, and more than 300 people lost their lives. The earthquake was not as deadly or intense as 19-S I but was certainly the most destructive since then. Immediately people turned on old radios (since all other forms of communication were down) and started gathering around what was perceived to be the most affected areas of the city to help: bringing in useful items like first response medical equipment; tools for debris removal; water and food for people working at the sites. Collectives of bike riders organised to transport information and resources from one location to another; hotels facilitated rooms for people that lost their homes; architects designed manuals for people to check if their homes were in danger of collapsing; audio engineers used their equipment to listen to possible survivors underneath the debris of some buildings.",index.html,,,,
Index_12,"Unos días antes de que el terremoto golpeara la Ciudad de México el 19 de septiembre de 2017, se registró un terremoto con una magnitud de 8.2 grados en la escala de Richter poco antes de la medianoche, con un epicentro a 133 km al suroeste de Pijijiapan en el estado de Chiapas. Este fue el terremoto más fuerte registrado con instrumentos científicos en la historia de México. Afectó al sur del país con víctimas mortales en Oaxaca, Chiapas y Tabasco. Los daños materiales fueron intensos y, hasta hoy, la gente sigue recuperándose de ello. La devastación del terremoto fue subestimada en México debido a la falta de atención que la gente presta a los acontecimientos en el sur del país o incluso fuera de la Ciudad de México.","A few days before the earthquake struck Mexico City on September 19, 2017, an earthquake with a magnitude of 8.2 degrees Richter was registered just before midnight, with an epicentre 133 km southwest of Pijijiapan in the state of Chiapas. This was the strongest earthquake registered with scientific instruments in the history of Mexico. It affected the south of the country with fatalities in Oaxaca, Chiapas and Tabasco. The material damage was intense and, until today, people are recovering from it. The devastation of the earthquake was undermined in Mexico because of the lack of care people give to things happening in the south of the country or even outside Mexico City.",index.html,,,,
Index_13,"Durante el terremoto de 2017, el 19 de septiembre, otras ciudades y pueblos también fueron afectados catastróficamente por el sismo. Ciudades como Cholula o Cuernavaca tuvieron víctimas mortales y pérdidas materiales. Sin embargo, la mayor atención se centró en la Ciudad de México.","During the 2017 earthquake, on September 19th, other cities and towns were also struck catastrophically by the earthquake. Cities like Cholula or Cuernavaca had fatalities as well as material losses. Yet the broader attention was given to Mexico City.",index.html,,,,
Index_14,"No me corresponde contar la historia de esos otros lugares. No centraré ni mi experiencia personal del terremoto de 2017 ni la historia de los edificios que cayeron en el barrio de mi infancia. Sin embargo, contaré las historias que hacen de la Ciudad de México (mi ciudad natal) el lugar de una lucha de clases que resuena en todo el mundo de maneras imprevistas. Hoy se puede decir que el Covid-19 ha sido un ensayo general para los 'desastres naturales' que vendrán en el siglo XXI. Dentro de unos años, seremos golpeados por más 'desastres naturales' y tendremos que elegir entre quedarnos en casa y obedecer o salir a las calles y, a través del conocimiento científico y la política emancipatoria, recuperar la tierra y el trabajo que nos roba el capitalismo. Las historias de la Ciudad de México pueden ser una inspiración para enfrentar el miedo con valentía y solidaridad y para hacer posibles muchos nuevos mundos.","It is not my position to tell the story of these other places. I will centre neither my personal experience of the 2017 earthquake nor even the story of the buildings that fell in my childhood neighbourhood. However, I will tell the stories that make Mexico City (my home town) the locus of a class struggle that resonates throughout the world in unforeseen ways. Today it can be said that Covid-19 has been a dress rehearsal for the 'natural disasters' to come in the 21st Century. In a few years from now, we will be struck by more 'natural disasters,' and we will have to choose to either stay at home and obey or go out to the streets and, through scientific knowledge and emancipatory politics, take back the land and labour that is stolen from us by capitalism. The stories of Mexico City can be an inspiration to confront fear with courage and solidarity and to make many new worlds possible.",index.html,,,,
Earthquake-event_1,"Datos sobre el terremoto","Earthquake Data",earthquake-event.html,,,,
